pitch,yaw,emotion
-0.3727453351020813,-0.27008235454559326,Neutral
-0.35635891556739807,-0.1497167944908142,Neutral
-0.3385697901248932,-0.09724372625350952,Neutral
-0.19044078886508942,-0.16761483252048492,Neutral
-0.2626204490661621,-0.19925904273986816,Neutral
-0.21063660085201263,-0.1770504117012024,Neutral
-0.32894301414489746,-0.06464876979589462,Neutral
-0.3499963581562042,-0.0812905952334404,Neutral
-0.32798507809638977,-0.06308069825172424,Neutral
-0.3464394509792328,-0.07260309904813766,Neutral
-0.3368816077709198,-0.07390511780977249,Neutral
-0.38695889711380005,-0.10341187566518784,Neutral
-0.25863155722618103,-0.14654895663261414,Neutral
-0.2249327152967453,-0.1943148821592331,Neutral
-0.22655564546585083,-0.17133739590644836,Neutral
-0.27292340993881226,-0.19417479634284973,Neutral
-0.2619951367378235,-0.21534506976604462,Neutral
-0.2402307093143463,-0.1776546835899353,Neutral
-0.24801726639270782,-0.16825266182422638,Neutral
0.14789944887161255,0.05333060026168823,Neutral
0.20072297751903534,0.04069310054183006,Neutral
0.34721601009368896,0.08200512081384659,Neutral
0.34674862027168274,0.10077481716871262,Neutral
0.22473643720149994,0.08095929771661758,Neutral
0.2849648892879486,0.08300087600946426,Neutral
0.2200884222984314,0.09387776255607605,Neutral
0.2752094566822052,0.059533633291721344,Neutral
0.31162765622138977,0.025142105296254158,Neutral
0.2620782256126404,0.05886811017990112,Neutral
0.35076281428337097,0.11646749079227448,Neutral
0.32419511675834656,0.1840212345123291,Neutral
0.3540422320365906,0.20746611058712006,Neutral
0.24770353734493256,0.1737440973520279,Neutral
0.22024928033351898,0.2643001079559326,Neutral
0.27082961797714233,0.3376787006855011,Neutral
0.1584133356809616,0.38825640082359314,"Distraction, Interest"
-0.3494935631752014,0.45143190026283264,Neutral
-0.48952895402908325,0.2663235664367676,Neutral
-0.22672848403453827,0.4204966127872467,Neutral
0.22595669329166412,0.29937711358070374,Neutral
0.2912616729736328,0.24145257472991943,Neutral
0.31510549783706665,0.06801926344633102,Neutral
-0.25875112414360046,-0.1150062158703804,Neutral
-0.3352232575416565,-0.08146316558122635,Neutral
-0.37399595975875854,-0.10856083035469055,Neutral
-0.35611391067504883,-0.059062521904706955,Neutral
-0.5520024299621582,0.19399024546146393,"Sadness, Submission"
-0.5518032312393188,0.2723151445388794,"Guilt, Avoidance"
-0.5858373641967773,0.26738297939300537,"Guilt, Avoidance"
-0.491418719291687,0.15580877661705017,Neutral
-0.3819385766983032,-0.038244057446718216,Neutral
-0.3320637047290802,-0.09915374964475632,Neutral
-0.31335127353668213,-0.06338270008563995,Neutral
-0.2342553734779358,-0.17581044137477875,Neutral
0.34369850158691406,0.08810961991548538,Neutral
0.18158496916294098,0.10600525885820389,Neutral
0.29895421862602234,-0.032882582396268845,Neutral
0.35150983929634094,-0.1743081510066986,Neutral
-0.3152429163455963,-0.17158614099025726,Neutral
-0.3620642125606537,-0.07489261776208878,Neutral
-0.621643602848053,-0.2338407188653946,"Reflection, Shame"
-0.6721890568733215,-0.2426331490278244,"Reflection, Shame"
-0.27812668681144714,-0.496976763010025,Neutral
-0.0029523803386837244,-0.45307081937789917,"Skepticism, Doubt"
-0.1520654261112213,-0.548501193523407,"Skepticism, Doubt"
-0.5516778230667114,-0.2603330612182617,"Reflection, Shame"
-0.5679872632026672,0.2397659868001938,"Guilt, Avoidance"
-0.6191902756690979,0.23193389177322388,"Guilt, Avoidance"
0.33589252829551697,0.19614394009113312,Neutral
0.18166805803775787,-0.2118784338235855,"Skepticism, Doubt"
0.3883938193321228,-0.08645233511924744,Neutral
-0.3116404414176941,-0.20782004296779633,Neutral
-0.3460492789745331,-0.08273429423570633,Neutral
-0.37510862946510315,-0.012211126275360584,Neutral
-0.4232577979564667,-0.42533078789711,Neutral
